"Category","Timestamp","Detail","Temperature (°F)","Wind Direction","Wind Notes","Additional Notes","Date","Datetime"
"Fauna","1899-12-31 08:38:00","Moth",NA,NA,NA,"First visible pollinator, in sunlight",2024-12-24,NA
"Fauna","1899-12-31 08:40:00","Cardinals",NA,NA,NA,"Observed in tree, photo taken",2024-12-24,NA
"Fauna","1899-12-31 08:56:00","Starlings, cardinals",NA,NA,NA,"Multiple sightings",2024-12-24,NA
"Fauna","1899-12-31 09:23:00","Sweat bee (?)",NA,NA,NA,"Banded; similar to Beedrill; seen in sun",2024-12-24,NA
"Fauna","1899-12-31 09:33:00","Honeybee",NA,NA,NA,"Identified, photo taken",2024-12-24,NA
"Fauna","1899-12-31 10:00:00","Hylaeus (?)",NA,NA,NA,"Possible first confirmed sighting",2024-12-24,NA
"Fauna","1899-12-31 10:02:00","Hylaeus",NA,NA,NA,"Public engagement; shared species details",2024-12-24,NA
"Fauna","1899-12-31 10:35:00","Hylaeus",NA,NA,NA,"Uncertain ID, geo-tag suggested",2024-12-24,NA
"Fauna",NA,"Wedge-tailed shearwaters",NA,NA,NA,"Seen flying offshore",2024-12-24,NA
"Fauna",NA,"Butterflies & moths",NA,NA,NA,"Described patterns, multiple seen",2024-12-24,NA
"Flora","1899-12-31 08:32:00","Blossoms",NA,NA,NA,"Notably more blossoms than 12/23",2024-12-24,NA
"Flora","1899-12-31 08:32:00","Ilima",NA,NA,NA,"Definitely more Ilima across entire trail head",2024-12-24,NA
"Flora","1899-12-31 09:00:00","Flowering",NA,NA,NA,"Fewer flowers in shaded sections of trail",2024-12-24,NA
"Flora",NA,"Naupaka",NA,NA,NA,"More blossoms overall; possible blooming season",2024-12-24,NA
"Flora",NA,"Naio",NA,NA,NA,"Same consideration; seasonal timing noted",2024-12-24,NA
"Flora","1899-12-31 10:28:00","Naupaka",NA,NA,NA,"Noted dieback—questioning role of invasives",2024-12-24,NA
"Site/Spatial",NA,"Pink markers",NA,NA,NA,"Noted near trail; unclear purpose",2024-12-24,NA
"Site/Spatial",NA,"Trail/Reserve split",NA,NA,NA,"Ridge shaded vs. sunny trail; coastal vs. inland dynamic",2024-12-24,NA
"Site/Spatial",NA,"Photo reference points",NA,NA,NA,"Images taken at 8:21, 9:15, 10:35",2024-12-24,NA
"Site/Spatial",NA,"Spot documentation",NA,NA,NA,"Importance of repeat observation points",2024-12-24,NA
"Site/Spatial",NA,"Moon phase?",NA,NA,NA,"Prompt to include in future data collection",2024-12-24,NA
"Social","1899-12-31 10:02:00","Trail users asked questions",NA,NA,NA,"Shared Hylaeus info, engaged hikers",2024-12-24,NA
"Social",NA,"General trail use",NA,NA,NA,"Very quiet; likely due to holiday",2024-12-24,NA
"Environmental Conditions","0.4791666666666667","Arrival, overcast with cumulus clouds",NA,"~2° N","Slight breeze off ocean","Clouds over point and range",2024-12-27,NA
"Environmental Conditions","0.5048611111111111","Cloud cover cleared at the point",NA,"N/NW","Breeze still present","—",2024-12-27,NA
"Environmental Conditions","0.5277777777777778","Storm clouds forming over ridge/ocean",NA,"—","—","Visual shift in weather pattern",2024-12-27,NA
"Environmental Conditions","0.55","Stronger wind recorded",NA,"~190° S","~10+ mph","Possibly shifting insect behavior",2024-12-27,NA
"Fauna","0.5152777777777777","Butterflies + 2 Hylaeus observed pollinating",NA,"—","—","Video taken",2024-12-27,NA
"Fauna","0.5215277777777778","3rd Hylaeus spotted",NA,"—","—","Moths and Hylaeus using same flower space",2024-12-27,NA
"Fauna","0.5277777777777778","Hylaeus sighting",NA,"—","—","Active despite wind",2024-12-27,NA
"Fauna","0.55","Female Hylaeus along coast",NA,"—","Windy; flying low","Possibly using naupaka for cover",2024-12-27,NA
"Fauna","0.5555555555555556","Hylaeus and honeybee in same area",NA,"—","—","Honeybee on cup flowers; Hylaeus on naupaka",2024-12-27,NA
"Flora","—","Ilima",NA,"—","—","High pollinator concentration; needs ID",2024-12-27,NA
"Flora","—","Naupaka dense bloom",NA,"—","—","Clustered in Hylaeus activity zone",2024-12-27,NA
"Flora","—","Naupaka sparser in surrounding area",NA,"—","—","Notably less blooming outside identified patch",2024-12-27,NA
"Site/Spatial","—","Storm clouds forming over ridge and ocean",NA,"—","—","Shift in cloud cover noted",2024-12-27,NA
"Site/Spatial","—","Concentrated flower patch with pollinator activity",NA,"—","—","Possibly key site for repeated observation",2024-12-27,NA
"Site/Spatial","—","Localized naupaka bloom cluster",NA,"—","—","May be tied to microclimate or soil condition",2024-12-27,NA
"Social","—","High foot traffic, mostly tourists",NA,"—","—","More crowded than previous observations",2024-12-27,NA
"Social","—","""Tourist behavior"" noted",NA,"—","—","Minimal engagement again",2024-12-27,NA
